,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Age': '>=25.5', 'Credit amount': '>=3913.5', 'Duration': '<15.5'}",0.713,0.0174,0.9667,0.0171,0.9633,-4.1,-0.0041,1.8783,0.0778,0.1033,0.0618,0.1168,-0.0764,0.031,0.0014,0.0013,-0.0009,0.0003
0,"{'Checking account': 'little', 'Housing': 'free', 'Purpose': 'car'}",0.58,0.34,0.32,0.0143,0.9667,-4.0,-0.004,1.5,0.2,0.5333,0.5616,0.5703,0.5703,0.4347,0.0112,0.0057,0.0057,0.0043
0,"{'Checking account': 'moderate', 'Credit amount': '<3913.5', 'Job': 2}",0.6598,0.0256,0.9615,0.1114,0.87,-3.9,-0.0039,15.6,0.0852,0.1016,0.154,0.3489,-0.0713,-0.3489,0.018,0.0136,-0.0056,-0.0136
0,"{'Credit amount': '>=3913.5', 'Duration': '<15.5'}",0.6815,0.0519,0.9067,0.0214,0.96,-3.9,-0.0039,2.5,0.0543,0.1616,0.0563,0.0987,-0.0164,-0.0053,0.0015,0.0012,-0.0002,-0.0001
0,"{'Duration': '>=15.5', 'Housing': 'own', 'Job': 3}",0.7037,0.1148,0.8176,0.0486,0.9333,-3.8,-0.0038,6.4222,0.2264,0.55,0.1053,0.1191,0.0726,0.1047,0.0057,0.0027,0.0025,0.0021
0,"{'Duration': '>=15.5', 'Housing': 'own', 'Purpose': 'furniture/equipment'}",0.7455,0.0,1.0,0.0057,0.9767,-3.7,-0.0037,0.4364,0.1214,0.1333,0.1834,0.2046,-0.1097,0.1947,0.002,0.0014,-0.0004,0.0014
0,{'Purpose': 'car'},0.7061,0.1061,0.8439,0.1757,0.8067,-3.7,-0.0037,25.0757,0.0753,0.1514,0.0403,0.0604,0.0464,0.0085,0.0073,0.0057,0.0057,0.0005
0,"{'Credit amount': '>=3913.5', 'Housing': 'own', 'Purpose': 'car'}",0.6,0.2323,0.6,0.0257,0.9567,-3.7,-0.0037,3.1355,0.12,0.2167,0.2855,0.2903,0.2903,0.1947,0.0088,0.0052,0.0052,0.0025
0,"{'Checking account': 'moderate', 'Credit amount': '>=3913.5', 'Purpose': 'car'}",0.6727,0.0545,0.85,0.0057,0.9767,-3.7,-0.0037,0.4364,0.5643,0.8833,0.2198,0.1997,0.0403,0.1661,0.0024,0.0012,0.0002,0.0012
0,"{'Age': '>=25.5', 'Purpose': 'furniture/equipment'}",0.6824,0.0235,0.9625,0.0457,0.9367,-3.7,-0.0037,6.0235,0.0824,0.119,0.0964,0.1948,-0.0722,-0.1948,0.0049,0.0037,-0.0023,-0.0037
0,"{'Checking account': 'little', 'Duration': '>=15.5', 'Purpose': 'furniture/equipment'}",0.525,0.25,0.0,0.0029,0.98,-3.6,-0.0036,0.15,0.2533,0.3,0.5766,0.8903,0.8903,0.2947,0.0046,0.002,0.0018,0.0018
0,"{'Checking account': 'little', 'Credit amount': '>=3913.5', 'Purpose': 'car'}",0.4889,0.4222,0.1556,0.0129,0.97,-3.6,-0.0036,1.35,0.1143,0.2571,0.6349,0.7347,0.7347,0.4169,0.0114,0.0066,0.0066,0.0038
0,"{'Credit amount': '>=3913.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.8057,0.0343,0.9429,0.03,0.9533,-3.5,-0.0035,3.78,0.12,0.18,0.0759,0.1947,-0.0526,0.1947,0.0027,0.0027,-0.0011,0.0027
0,"{'Age': '<25.5', 'Credit amount': '<3913.5', 'Purpose': 'radio/TV'}",0.7164,0.0582,0.9086,0.05,0.9333,-3.5,-0.0035,6.6818,0.1987,0.2833,0.0197,0.0404,-0.0183,-0.0253,0.0011,0.001,-0.0006,-0.0005
0,"{'Checking account': 'little', 'Credit amount': '>=3913.5', 'Duration': '<15.5'}",0.6667,0.1556,0.5333,0.0043,0.98,-3.3,-0.0033,0.3,0.4,0.5467,0.446,0.4075,0.357,0.328,0.004,0.002,0.0011,0.002
0,"{'Age': '>=25.5', 'Duration': '>=15.5', 'Purpose': 'business'}",0.6994,0.1509,0.7784,0.1586,0.8267,-3.1,-0.0031,22.6767,0.0271,0.0386,0.1218,0.1297,0.1119,0.1254,0.0199,0.0124,0.0124,0.0065
0,"{'Credit amount': '>=3913.5', 'Purpose': 'furniture/equipment'}",0.5077,0.2462,0.4667,0.0086,0.9767,-3.1,-0.0031,0.8308,0.6,0.7333,0.3401,0.4236,0.4236,0.1375,0.0044,0.0025,0.0025,0.001
0,"{'Credit amount': '<3913.5', 'Duration': '>=15.5', 'Purpose': 'furniture/equipment'}",0.5538,0.0,1.0,0.0086,0.9767,-3.1,-0.0031,0.8308,0.1556,0.1667,0.1061,0.2339,-0.1097,-0.2339,0.0014,0.0016,-0.0007,-0.0016
0,"{'Credit amount': '>=3913.5', 'Purpose': 'radio/TV'}",0.805,0.03,0.952,0.0357,0.95,-3.0,-0.003,4.6875,0.1204,0.1981,0.0416,0.1547,-0.0617,0.1547,0.0017,0.0024,-0.0015,0.0023
0,"{'Credit amount': '>=3913.5', 'Duration': '<15.5', 'Housing': 'own'}",0.6824,0.0235,0.9556,0.0129,0.9733,-2.9,-0.0029,1.4294,0.1619,0.1667,0.0366,0.0735,-0.0653,-0.0303,0.0006,0.0007,-0.0006,-0.0002
